LocMailCnt,count,timestamp,gear,tsns.hasTemp,tsns.temp,Gyro.hasTemp,Gryo.temp,Gyro.hasX,Gyro.x,Gyro.hasY,Gyro.y,Gyro.hasZ,Gyro.z,Gsns.hasTemp,Gsns.temp,Gsns.hasX,Gsns.x,Gsns.hasY,Gsns.y,Gsns.hasZ,Gsns.z,Pls.cycleTime,Pls.cycleCount,Pls.pulseCount
15040,206,1508795,1,0,0,1,34,1,54.400021,1,11.200005,1,-31.600014,0,0,1,-603.993896,1,-2296.376465,1,16157.43457,0,0,0
15040,206,1508795,1,0,0,1,34,1,19.200008,1,7.600003,1,-28.000013,0,0,1,-611.59375,1,-2287.376709,1,16155.83496,0,0,0
15041,207,1508901,1,0,0,1,34,1,28.000011,1,-1.8,1,-23.00001,0,0,1,-602.593872,1,-2301.976562,1,16145.23535,0,0,0
15041,207,1508901,1,0,0,1,34,1,77.800034,1,11.800004,1,-27.400011,0,0,1,-611.393738,1,-2296.376465,1,16131.43555,0,0,0
15042,208,1508997,1,0,0,1,34,1,28.800013,1,-17.000006,1,-33.600014,0,0,1,-619.193665,1,-2298.976318,1,16144.23633,0,0,0
15042,208,1508997,1,0,0,1,34,1,21.20001,1,0.4,1,-29.200014,0,0,1,-615.193726,1,-2291.176514,1,16143.83594,0,0,0
15043,209,1509099,1,0,0,1,34,1,-3.600002,1,6.000002,1,-38.400017,0,0,1,-613.193726,1,-2296.376465,1,16151.83594,0,0,0
15043,209,1509099,1,0,0,1,34,1,24.400011,1,14.000006,1,-33.200012,0,0,1,-605.593811,1,-2280.376709,1,16150.63477,0,0,0
15044,210,1509200,1,0,0,1,34,1,29.800013,1,6.400003,1,-41.600018,0,0,1,-609.993713,1,-2303.576416,1,16151.03516,0,0,0
15044,210,1509200,1,0,0,1,34,1,62.80003,1,-5.800002,1,-37.800018,0,0,1,-599.193909,1,-2286.776611,1,16142.43555,0,0,0
15045,211,1509299,1,0,0,1,34,1,27.000013,1,-13.800006,1,-32.400013,0,0,1,-616.993713,1,-2289.376465,1,16156.63477,0,0,0
