# TimeStamp,latitude(deg),longitude(deg),height(m),std_n(m),std_e(m),std_d(m)
1017654,37.400575000,127.111885000,76.300,16.220,12.210,15.470
1018651,37.400571667,127.111883333,76.100,16.190,12.190,15.500
1019706,37.400575000,127.111886667,75.800,16.160,12.170,15.530
1020655,37.400581667,127.111891667,75.700,14.450,10.900,13.820
1021659,37.400581667,127.111891667,75.200,14.820,11.180,14.060
1022653,37.400590000,127.111900000,74.900,14.970,11.290,14.090
1023661,37.400605000,127.111915000,74.600,15.140,11.400,14.120
1024708,37.400620000,127.111928333,74.300,15.310,11.510,14.180
1025658,37.400628333,127.111935000,74.000,15.390,11.560,14.180
1026657,37.400633333,127.111940000,73.800,15.580,11.680,14.270
1027663,37.400631667,127.111938333,73.400,15.970,11.950,14.570
1028658,37.400638333,127.111943333,73.200,16.050,12.000,14.610
1029710,37.400643333,127.111948333,73.000,16.120,12.040,14.640
1030662,37.400650000,127.111953333,72.900,16.300,12.160,14.770
1031665,37.400653333,127.111955000,72.800,16.440,12.250,14.860
1032660,37.400655000,127.111956667,72.800,16.380,12.190,14.770
1033666,37.400653333,127.111955000,72.800,17.870,13.280,15.910
1034709,37.400651667,127.111951667,72.800,18.300,13.580,16.090
1035670,37.400645000,127.111945000,72.900,19.130,14.180,16.620
1036661,37.400633333,127.111933333,73.100,17.840,13.210,15.340
1037663,37.400630000,127.111930000,73.100,18.250,13.500,15.380
1038658,37.400626667,127.111928333,73.100,18.660,13.800,15.430
1039717,37.400628333,127.111928333,73.200,19.570,14.460,16.020
1040662,37.400616667,127.111915000,72.900,24.080,17.740,19.820
1041666,37.400603333,127.111896667,71.700,23.950,17.580,19.730
1042670,37.400595000,127.111885000,70.400,23.870,17.470,19.680
1043667,37.400585000,127.111871667,69.100,23.920,17.460,19.620
1044714,37.400570000,127.111853333,67.900,23.830,17.380,19.570
1045674,37.400555000,127.111836667,66.600,23.750,17.310,19.520
1046664,37.400541667,127.111820000,65.400,23.650,17.230,19.460
1047670,37.400525000,127.111801667,64.300,23.560,17.170,19.400
1048668,37.400503333,127.111778333,63.100,23.490,17.120,19.350
1049717,37.400495000,127.111771667,62.400,27.260,19.890,21.820
1050670,37.400483333,127.111760000,61.700,21.250,15.500,16.980
1051676,37.400476667,127.111753333,60.900,20.720,15.130,16.490
1052671,37.400465000,127.111740000,60.300,20.820,15.200,16.490
1053672,37.400458333,127.111733333,59.500,28.250,20.650,21.780
1054720,37.400450000,127.111723333,58.600,21.690,15.850,16.490
1055673,37.400435000,127.111708333,57.800,21.980,16.040,16.480
1056679,37.400413333,127.111686667,57.100,21.980,16.020,16.480
1057678,37.400393333,127.111668333,56.500,21.990,16.010,16.480
1058672,37.400376667,127.111651667,55.800,21.810,15.870,16.220
1059726,37.400368333,127.111641667,55.000,21.700,15.770,15.970
1060671,37.400370000,127.111643333,54.400,21.940,15.930,15.970
1061682,37.400373333,127.111645000,53.500,20.490,14.870,14.520
1062675,37.400383333,127.111653333,53.100,20.140,14.600,13.920
1063684,37.400398333,127.111666667,52.700,20.910,15.140,14.100
1064723,37.400416667,127.111683333,52.400,22.060,15.950,14.550
1065681,37.400431667,127.111695000,52.100,21.820,15.750,14.100
1066683,37.400435000,127.111698333,52.000,23.020,16.600,14.640
1067683,37.400461667,127.111721667,51.600,23.640,17.030,14.820
1068683,37.400468333,127.111725000,51.400,24.230,17.430,15.010
1069729,37.400471667,127.111725000,51.100,25.280,18.170,15.520
1070682,37.400458333,127.111711667,51.000,24.030,17.260,14.670
1071685,37.400455000,127.111708333,50.900,24.210,17.400,15.030
1072681,37.400451667,127.111703333,50.900,24.050,17.300,15.150
1073687,37.400450000,127.111700000,50.700,29.760,21.450,18.440
1074728,37.400441667,127.111691667,50.200,24.150,17.410,15.180
1075697,37.400433333,127.111683333,50.200,23.870,17.220,15.190
1076686,37.400426667,127.111678333,50.100,24.040,17.350,15.510
1077694,37.400410000,127.111663333,50.200,23.870,17.240,15.600
1078685,37.400406667,127.111660000,50.200,29.140,21.080,18.710
1079744,37.400391667,127.111645000,49.800,24.490,17.710,15.940
1080695,37.400383333,127.111638333,49.600,24.210,17.520,15.960
1081698,37.400378333,127.111633333,49.500,23.950,17.340,15.970
1082692,37.400375000,127.111630000,49.300,23.720,17.180,15.980
1083704,37.400371667,127.111628333,49.300,23.840,17.280,16.250
1084737,37.400371667,127.111628333,49.200,23.830,17.290,16.430
1085699,37.400368333,127.111625000,49.100,23.550,17.100,16.400
1086691,37.400366667,127.111623333,49.100,23.000,16.720,16.130
1087701,37.400366667,127.111623333,49.100,23.180,16.860,16.370
1088694,37.400370000,127.111626667,49.000,23.190,16.870,16.370
1089750,37.400371667,127.111628333,48.900,23.300,16.950,16.380
1090692,37.400380000,127.111635000,48.800,23.390,17.010,16.400
1091705,37.400390000,127.111643333,48.600,22.910,16.670,15.970
1092694,37.400405000,127.111655000,48.500,23.070,16.780,15.980
1093704,37.400420000,127.111668333,48.300,23.300,16.930,15.940
